date,amount,descr
19/09/2020,-5.17,sol
06/09/2020,-11.06,sol
28/06/2021,-22.23,sol
14/08/2019,-27.46,mal
18/04/2020,-4.95,sol
13/03/2021,-12.18,dol
21/04/2021,-1314,zod
26/01/2021,-31.97,sol
11/10/2020,-30.62,sol
18/03/2021,-11.2,io
24/02/2020,-19.99,ko
03/04/2020,-4,sol
31/10/2019,-12.9,io
26/03/2021,-75,gul
12/03/2021,-45.6,sol
18/06/2021,-7.75,sol
07/08/2019,-315,lo
07/12/2019,-18.26,sol
11/07/2021,-1314,zod
24/07/2020,-35.69,sol
20/08/2020,-35,um
29/06/2020,-8.74,sol
24/02/2021,-0.81,el
09/12/2020,-2,sol
14/09/2019,-38.81,sol
08/10/2020,-40,lem
24/04/2021,-3.51,sol
18/01/2020,-5.98,sol
26/08/2019,-19.99,ko
02/06/2021,-31.05,um
01/11/2019,-33,dol
06/05/2020,-3.98,sol
24/12/2019,-27.8,dol
08/06/2021,-23.95,hel
03/12/2019,-187.7,lem
31/05/2020,-902,jah
10/04/2020,-4.93,sol
03/01/2020,-80,ohm
25/11/2019,-13.5,dol
29/06/2020,-34,um
09/05/2021,-12,dol
03/11/2020,-11.26,sol
17/05/2020,-4.38,sol
30/03/2020,-30,lem
17/11/2020,-5.64,sol
16/01/2021,-10.4,dol
09/08/2020,-18.49,sol
30/04/2020,-4.02,sol
20/08/2019,-1.51,sol
08/10/2019,-7.5,dol
05/07/2020,-5,sol
25/04/2020,-11.18,sol
31/01/2021,-10.4,dol
24/10/2019,-19.99,ko
16/05/2021,-10.4,dol
22/08/2020,-17.65,sol
09/07/2021,-8.5,sol
26/07/2020,-4.33,sol
01/01/2021,-1.97,sol
24/02/2021,-27.02,ist
25/04/2020,-3.74,sol
20/10/2019,-9.43,sol
09/10/2020,-37.05,sol
30/12/2020,-15,dol
24/01/2021,-16.9,sol
25/01/2020,-12.35,sol
02/01/2021,-46.95,sol
04/12/2020,-25.16,hel
15/03/2021,-10.4,dol
25/03/2021,-10,dol
31/08/2020,-7.6,sol
17/05/2020,-6.63,sol
03/05/2021,-8.72,sol
24/05/2021,-10.4,dol
20/05/2021,-8,dol
14/10/2019,-26,dol
29/09/2019,-12,sol
24/11/2019,-8.97,sol
02/01/2020,-36.45,sol
15/02/2020,-39.63,sol
05/06/2021,-3,sol
02/05/2021,-12,dol
30/06/2020,-10.55,sol
05/12/2019,-12.9,dol
13/10/2019,-44.96,sol
11/06/2021,-10.4,dol
23/01/2021,-8,sol
10/11/2020,-3,sol
19/10/2019,-44.87,sol
22/12/2020,-15,io
28/07/2019,-15.68,sol
24/06/2020,-4.39,sol
29/11/2019,-3.8,sol
31/01/2020,-902,jah
05/07/2021,-12.5,dol
17/10/2019,-15,dol
03/05/2021,-33,um
05/04/2021,-37.35,sol
29/06/2021,-3.6,sol
16/01/2021,-24.01,sol
03/08/2019,-3.48,sol
06/09/2019,-140,ohm
08/07/2020,-18.27,hel
12/03/2021,-3,sol
26/02/2020,-75,gul
25/03/2021,-20,dol
20/02/2020,-31.56,um
30/10/2020,-44.88,sol
01/01/2020,-3.17,sol
24/01/2021,-10.4,dol
19/09/2019,-3.5,sol
25/08/2020,-22.49,sol
16/04/2021,-24.64,sol
16/12/2020,-3,sol
24/11/2020,-4.21,sol
09/01/2020,-3.8,sol
11/04/2021,-10.4,dol
31/03/2021,-75,gul
01/02/2021,-41.1,dol
11/07/2020,-9.54,sol
03/05/2020,-10.7,sol
29/01/2020,-75,gul
12/09/2020,-28.66,sol
19/08/2019,-13.45,sol
06/11/2019,-80,ohm
27/06/2020,-36.16,sol
31/01/2021,-902,jah
18/04/2021,-15.46,sol
30/11/2020,-11.56,sol
12/08/2020,-20.72,sol
21/12/2019,-91.2,dol
05/09/2019,-235.18,um
30/05/2020,-49.83,sol
28/03/2021,-2.42,sol
21/06/2021,-10.4,dol
06/03/2021,-5,fal
30/09/2019,-211,sur
13/06/2020,-36.77,sol
01/05/2021,-34.8,sol
24/03/2020,-173,fal
15/02/2021,-17.5,dol
01/06/2021,-75,gul
12/06/2021,-3,sol
02/05/2020,-26.11,sol
23/12/2020,-3.99,lem
12/04/2021,-10.4,dol
31/12/2020,-8.8,sol
15/11/2019,-100,io
24/08/2019,-62.2,dol
24/06/2020,-19.99,ko
10/01/2021,-19.94,sol
20/02/2020,-3.8,sol
30/06/2021,-34,um
09/03/2020,-7,sol
03/07/2021,-10.4,dol
07/09/2020,-8.5,sol
